severity_budget_epsilon,winner_family,win_count,mean_cost_improvement_vs_noinfo,median_cost_improvement_vs_noinfo,mean_winner_sync_index,win_fraction
0.0,budget_common,20,0.02734772359435065,0.024328059281886194,0.0039129737649167984,0.7407407407407407
0.0,coarse_zone,7,0.01758739816155454,0.015399455377928417,0.0040420891547282315,0.25925925925925924
0.001,budget_common,20,0.02734772359435065,0.024328059281886194,0.0039129737649167984,0.7407407407407407
0.001,coarse_zone,7,0.01758739816155454,0.015399455377928417,0.0040420891547282315,0.25925925925925924
0.0025,budget_common,20,0.02734772359435065,0.024328059281886194,0.0039129737649167984,0.7407407407407407
0.0025,coarse_zone,7,0.01758739816155454,0.015399455377928417,0.0040420891547282315,0.25925925925925924
0.005,budget_common,20,0.02734772359435065,0.024328059281886194,0.0039129737649167984,0.7407407407407407
0.005,coarse_zone,7,0.01758739816155454,0.015399455377928417,0.0040420891547282315,0.25925925925925924
0.01,budget_common,20,0.02734772359435065,0.024328059281886194,0.0039129737649167984,0.7407407407407407
0.01,coarse_zone,7,0.01758739816155454,0.015399455377928417,0.0040420891547282315,0.25925925925925924
0.02,budget_common,20,0.02734772359435065,0.024328059281886194,0.0039129737649167984,0.7407407407407407
0.02,coarse_zone,7,0.01758739816155454,0.015399455377928417,0.0040420891547282315,0.25925925925925924
0.05,budget_common,20,0.02734772359435065,0.024328059281886194,0.0039129737649167984,0.7407407407407407
0.05,coarse_zone,7,0.01758739816155454,0.015399455377928417,0.0040420891547282315,0.25925925925925924
