topology,pulse_mode,utilization,policy,family,update_fraction,smoothing,guard,mean_cost,p95_cost,overload_frequency,overload_severity,p95_max_overload_excess,sync_index,oscillation,throughput_proxy,noinfo_mean_cost,noinfo_overload_severity,noinfo_p95_max_overload_excess,noinfo_p95_cost,cost_improvement_vs_noinfo,delta_overload_severity_vs_noinfo,delta_p95_cost_vs_noinfo
diamond_bypass,event_burst,1.08,budget_common_u0.055_s0.00,budget_common,0.055,0.0,False,2.002694053699942,4.703915533800651,0.7200000000000002,0.0637449376412112,0.8356051867773987,0.0043576205355628,0.00205578319683,0.9580834943909732,2.0613969207101426,0.0718768313228157,0.9774455155897492,5.004242035600928,0.0587028670102007,-0.0081318936816044,-0.300326501800277
diamond_bypass,flat,0.92,coarse_zone_u0.035,coarse_zone,0.035,0.55,False,1.5411990465004857,1.5524095547762764,0.0233333333333333,1.4466219496942772e-05,0.0130047727899493,0.0051041663897086,0.0046195052789145,0.999985538064316,1.5610194578662304,0.0003569898795587,0.0327256724709572,1.561019457866231,0.0198204113657447,-0.0003425236600618,-0.0086099030899546
diamond_bypass,flat,1.0,budget_common_u0.080_s0.00,budget_common,0.08,0.0,False,1.6791682138338293,1.6788421549429635,0.6666666666666669,0.0023743918010991,0.0677632788124095,0.00466821427394,0.000127724924174,0.9976314009461366,1.7086757537229846,0.006397071273876,0.122527904859736,1.7086757537229846,0.0295075398891553,-0.0040226794727769,-0.0298335987800211
diamond_bypass,flat,1.08,budget_common_u0.080_s0.00,budget_common,0.08,0.0,False,1.8407305671597252,1.8402769011434608,0.6666666666666669,0.0122805210311291,0.1442925441716052,0.0056876501198812,5.950751539145344e-05,0.9878694693099476,1.8854481572398312,0.0225089913634345,0.2123301372485151,1.885448157239831,0.0447175900801057,-0.0102284703323054,-0.0451712560963697
parallel_3_heterogeneous,commute_pulse,0.92,budget_common_u0.080_s0.00,budget_common,0.08,0.0,False,1.5512587311006083,2.169075570059394,0.2533333333333333,0.0070707940358365,0.2675698784846894,0.0038281164213581,0.0007198703688441,0.9932033115671844,1.5645174433471345,0.0090809961631738,0.3519268280373301,2.208682835362189,0.0132587122465261,-0.0020102021273372,-0.039607265302795
parallel_3_heterogeneous,commute_pulse,1.0,budget_common_u0.080_s0.00,budget_common,0.08,0.0,False,1.6978840327119047,2.507807069234637,0.34,0.0175259964983358,0.3746558126296717,0.0042548948633462,0.0006079686478895,0.983827481236888,1.7172789970558224,0.0199607516812346,0.4694856826492715,2.5619487635449203,0.0193949643439177,-0.0024347551828988,-0.0541416943102834
parallel_3_heterogeneous,commute_pulse,1.08,budget_common_u0.080_s0.00,budget_common,0.08,0.0,False,1.873336553931468,2.9133363904559078,0.47,0.034264080442333,0.4821927822035912,0.0045814273676445,0.0004945473969504,0.9699671426913368,1.9001633560150253,0.0374322415474906,0.5870445372612135,2.9848746323209725,0.0268268020835573,-0.0031681611051575,-0.0715382418650651
parallel_3_heterogeneous,event_burst,0.92,budget_common_u0.080_s0.00,budget_common,0.08,0.0,False,1.602476825857923,3.1781085409703587,0.1566666666666666,0.025118038424824,0.544966667222469,0.0038298235154247,0.0009033430087754,0.9801531284891531,1.6179267712327623,0.0257932767097175,0.6542940347974522,3.2608677102639145,0.0154499453748395,-0.0006752382848935,-0.0827591692935558
parallel_3_heterogeneous,event_burst,1.0,budget_common_u0.055_s0.00,budget_common,0.055,0.0,False,1.7651005635504706,3.830719326039924,0.1866666666666666,0.0411186069998035,0.675376546430816,0.0030411948135666,0.0007241131453596,0.9704293576554934,1.7873126329398783,0.0416281698650251,0.7981456899972305,3.9416390784909807,0.0222120693894076,-0.0005095628652215,-0.110919752451057
parallel_3_heterogeneous,event_burst,1.08,budget_common_u0.055_s0.00,budget_common,0.055,0.0,False,1.959711613856848,4.61329282605396,0.48,0.0620738462544543,0.8159097006489882,0.0038662993977553,0.0013386228192137,0.959454082874121,1.9900994204723783,0.0637064326819358,0.9419973451970088,4.756650658652099,0.0303878066155307,-0.0016325864274814,-0.1433578325981388
parallel_3_heterogeneous,flat,0.92,budget_common_u0.080_s0.00,budget_common,0.08,0.0,False,1.5084313061839358,1.5083228176914718,0.0033333333333333,6.733437460598441e-07,0.0,0.0040907167843332,0.0001820383265068,0.99999932670159,1.5196975354450633,6.733437460598442e-05,0.0142127802986591,1.5196975354450633,0.0112662292611274,-6.666103085992458e-05,-0.0113747177535914
parallel_3_heterogeneous,flat,1.0,budget_common_u0.080_s0.00,budget_common,0.08,0.0,False,1.641643077037979,1.6414563610832522,0.6600000000000001,0.0006316474289906,0.0420078161223875,0.0044788941962888,0.0001295540848423,0.9993688363504496,1.6585083434147154,0.0034956080543491,0.1024051959768033,1.6585083434147148,0.0168652663767363,-0.0028639606253584,-0.0170519823314625
parallel_3_heterogeneous,flat,1.08,budget_common_u0.080_s0.00,budget_common,0.08,0.0,False,1.8010763042060949,1.8008348059565238,0.9966666666666666,0.00735767123878,0.1212338255257567,0.0047798182209678,8.714948972987441e-05,0.992696487747304,1.824691031504872,0.0138906834142045,0.1905976116549477,1.8246910315048717,0.023614727298777,-0.0065330121754244,-0.0238562255483476
